X,Y,fid,ObjectID,Rodzaj_inw,Możliwoś,Powierzchn,Pojemnoś_,Subiektywn,Rodzaj_obi,Przeznacze,Województ,Powiat,Adres,x,y,ObjectId2,Gmina,Miejscowosc
2136710.99634973,6582141.20684823,23142,8633,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,396,320,7,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,"Wojciecha Korfantego 37, 42-202 Częstochowa",19.1944014576721,50.7781315717696,164418,,
2130229.04747294,6585169.72341496,23230,12683,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,197,125,6,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,"Tadeusza Rejtana 23, 42-202 Częstochowa",19.1361731202031,50.7953312070248,164528,,
2129233.85344802,6590221.91497839,23238,13640,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,393,230,5,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul. Wały Dwernickiego 117/121,19.1272331401706,50.824009672071,164545,,
2129929.29414668,6587990.41609974,23249,15972,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,127,130,5,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul. Mirowska 24,19.1334803902587,50.8113448722213,164637,,
2127356.47201741,6590950.31563306,23341,20458,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,81,73,7,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul. Kilińskiego 153,19.1103683358382,50.8281429429503,164743,,
2127446.20518237,6591349.30056189,23422,127,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,470,472,5,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,"Polskiego Czerwonego Krzyża 7, 42-218 Częstochowa, Polska",19.111174422574,50.8304068066504,164945,,
2127452.69653915,6591348.36649041,23427,998,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,490,551,5,[1] - (S) - schron,[2] - Z,ŚLĄSKIE,Częstochowa,"Polskiego Czerwonego Krzyża 7, 42-218 Częstochowa, Polska",19.1112327354241,50.8304015068027,164952,,
2131420.04970562,6583788.89470095,22778,143343,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,200,248,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Adama Próchnika 2, 42-207, Częstochowa, Śląskie, POL",19.1468720752935,50.7874899511232,164001,,
2131540.13765603,6583705.65490135,22779,143495,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,101,85,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Adama Próchnika 3, 42-207, Częstochowa, Śląskie, POL",19.1479508437064,50.7870172186186,164002,,
2131619.29733662,6583754.55792239,22780,143649,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,50,39,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Adama Próchnika 5, 42-207, Częstochowa, Śląskie, POL",19.148661947216,50.7872949474928,164003,,
